"","X","Name","University","Course","Year","Status","GRE_SCORE","Eng_test","Test_score","Undergrad_score","work_ex"
"497","41","Rahul33","Illinois Institute of Technology","Management Information System","Fall 2018 ","Admit","304","IELTS","7.5","62.50%","4 months"
"498","43","ChinmayArolkar","Illinois Institute of Technology","Management Information System","Fall 2018 ","Reject","298","TOEFL","82","6.22 CGPA ",NA
"499","44","varadjoshi","Illinois Institute of Technology","Management Information System","Fall 2018 ","Reject","300","IELTS","6.5","6.27 CGPA ",NA
"500","45","sanket1610","Illinois Institute of Technology","Management Information System","Fall 2017 ","Reject","308","IELTS","0","5.64 CGPA ",NA
"501","46","Glary-1994","Illinois Institute of Technology","Management Information System","Fall 2018 ","Reject","289","TOEFL","81","6.12 CGPA ","8 months"
"502","47","rohanganu","Illinois Institute of Technology","Management Information System","Fall 2018 ","Reject","306","TOEFL","104","58%","5 months"
"503","48","drish1234","Illinois Institute of Technology","Management Information System","Fall 2018 ","Reject","300","TOEFL","92","6 CGPA ","12 months"
"504","49","AdityaShri1995","Illinois Institute of Technology","Management Information System","Fall 2018 ","Reject","296","TOEFL","90","5.67 CGPA ","8 months"
"505","50","Abhiraj29","Illinois Institute of Technology","Management Information System","Fall 2018 ","Reject","290","IELTS","7.5","7 CGPA ","48 months"
"506","51","Jayeshiyer","Illinois Institute of Technology","Management Information System","Fall 2018 ","Reject","307","IELTS","7","54%","31 months"
"507","52","anish_sridhar","Illinois Institute of Technology","Management Information System","Fall 2018 ","Reject","304","TOEFL","99","6.49 CGPA ",NA
"508","53","fcb123","Illinois Institute of Technology","Management Information System","Spring 2018 ","Reject","299","IELTS","6.5","5.46 CGPA ","2 months"
"509","54","anusha0998","Illinois Institute of Technology","Management Information System","Spring 2018 ","Reject","297","IELTS","6","59%","12 months"
"510","55","yashnasree","Illinois Institute of Technology","Management Information System","Spring 2018 ","Reject","297","IELTS","7.5","7.97 CGPA ",NA
"511","56","sashankmadhu","Illinois Institute of Technology","Management Information System","Spring 2018 ","Reject","293","IELTS","7","6.1 CGPA ",NA
"512","57","sagar-maniyar","Illinois Institute of Technology","Management Information System","Fall 2017 ","Reject","286","IELTS","7","58%","30 months"
"513","58","Akashsharma","Illinois Institute of Technology","Management Information System","Fall 2017 ","Reject","292","TOEFL","80","58%","55 months"
"514","59","ezhilarasanelec","Illinois Institute of Technology","Management Information System","Fall 2017 ","Reject","302","TOEFL","99","6.7 CGPA ","22 months"
"515","60","ayushp47","Illinois Institute of Technology","Management Information System","Fall 2017 ","Reject","306","TOEFL","103","52%","1 month"
"516","61","Riazudeen","Illinois Institute of Technology","Management Information System","Fall 2017 ","Reject","305","TOEFL","90","6.89 CGPA ","19 months"
"517","62","Sid250594","Illinois Institute of Technology","Management Information System","Fall 2017 ","Reject","300","TOEFL","90","55%","4 months"
"559","22","Triptha","Iowa State University","Management Information System","Fall 2018 ","Admit","309","IELTS","8","7.95 CGPA ","3 months"
"560","23","nameeta","Iowa State University","Management Information System","Fall 2018 ","Admit","316","IELTS","8","8.87 CGPA ","18 months"
"561","24","Karanghadge27","Iowa State University","Management Information System","Fall 2017 ","Admit","313","TOEFL","105","69%","11 months"
"562","25","sarang131","Iowa State University","Management Information System","Fall 2018 ","Admit","311","IELTS","8","74.30%","18 months"
"563","26","username1234","Iowa State University","Management Information System","Fall 2018 ","Admit","321","TOEFL","116","68%",NA
"564","27","mohitgandhi2910","Iowa State University","Management Information System","Fall 2017 ","Admit","325","TOEFL","99","6.4 CGPA ","8 months"
"565","28","pujaeklabya30","Iowa State University","Management Information System","Fall 2018 ","Admit","305","ENG TEST","NA ","7.97 CGPA ","39 months"
"566","29","Abhi2291","Iowa State University","Management Information System","Fall 2018 ","Admit","308","TOEFL","100","8.6 CGPA ","34 months"
"567","30","arrearman","Iowa State University","Management Information System","Spring 2018 ","Admit","309","ENG TEST","NA ","70%",NA
"568","31","Kishorkumar","Iowa State University","Management Information System","Spring 2018 ","Admit","313","TOEFL","106","7.58 CGPA ","40 months"
"569","32","prasvj","Iowa State University","Management Information System","Fall 2017 ","Admit","307","IELTS","7","7.69 CGPA ","33 months"
"570","33","Pooja2017","Iowa State University","Management Information System","Fall 2017 ","Admit","306","TOEFL","97","80%","55 months"
"571","34","RitaSingh","Iowa State University","Management Information System","Fall 2017 ","Admit","305","TOEFL","99","72.20%","72 months"
"572","35","kavyachelimella5","Iowa State University","Management Information System","Fall 2017 ","Admit","309","TOEFL","106","72.80%","20 months"
"573","36","nickb","Iowa State University","Management Information System","Fall 2017 ","Admit","311","TOEFL","109","70%","29 months"
"574","37","kum0207","Iowa State University","Management Information System","Fall 2017 ","Admit","309","TOEFL","97","77%","43 months"
"575","38","Apoorva Purohit ","Iowa State University","Management Information System","Fall 2017 ","Admit","311","TOEFL","102","65.98%","25 months"
"576","39","sarthakdm","Iowa State University","Management Information System","Fall 2017 ","Admit","315","TOEFL","100","8.06 CGPA ","42 months"
"577","40","Pdhb","Iowa State University","Management Information System","Fall 2017 ","Admit","308","TOEFL","99","62.50%","56 months"
"578","41","AniruthS","Iowa State University","Management Information System","Fall 2017 ","Admit","310","TOEFL","103","7.5 CGPA ","20 months"
"579","43","Aashesh","Iowa State University","Management Information System","Fall 2018 ","Reject","308","IELTS","7.5","7.95 CGPA ","18 months"
"580","44","ranitariki","Iowa State University","Management Information System","Fall 2018 ","Reject","304","TOEFL","96","9.24 CGPA ","74 months"
"581","45","kau","Iowa State University","Management Information System","Fall 2018 ","Reject","307","ENG TEST","NA ","7.5 CGPA ","4 months"
"582","46","viky94","Iowa State University","Management Information System","Fall 2018 ","Reject","301","TOEFL","84","7.67 CGPA ","50 months"
"583","47","Lux ","Iowa State University","Management Information System","Fall 2018 ","Reject","310","TOEFL","107","6.71 CGPA ","12 months"
"584","48","Sugbug","Iowa State University","Management Information System","Spring 2019 ","Reject","304","TOEFL","104","8.7 CGPA ","16 months"
"585","49","harishb08","Iowa State University","Management Information System","Spring 2018 ","Reject","310","TOEFL","106","6.89 CGPA ","25 months"
"586","50","Eklavya","Iowa State University","Management Information System","Fall 2017 ","Reject","316","TOEFL","98","8.98 CGPA ","22 months"
"587","51","Dhananjayn02","Iowa State University","Management Information System","Fall 2017 ","Reject","309","TOEFL","106","7.17 CGPA ","29 months"
"588","52","Yaassh","Iowa State University","Management Information System","Fall 2017 ","Reject","318","TOEFL","113","5.97 CGPA ","20 months"
"589","53","mathewjose228","Iowa State University","Management Information System","Fall 2017 ","Reject","313","TOEFL","101","66%","17 months"
"590","54","zenith11","Iowa State University","Management Information System","Fall 2017 ","Reject","304","TOEFL","101","7.86 CGPA ","8 months"
"591","55","kartik91827","Iowa State University","Management Information System","Fall 2017 ","Reject","320","TOEFL","112","57%","48 months"
"592","56","dishan","Iowa State University","Management Information System","Fall 2017 ","Reject","306","TOEFL","90","7.23 CGPA ","17 months"
"593","57","shiwoah","Iowa State University","Management Information System","Spring 2017 ","Reject","308","TOEFL","107","7.03 CGPA ","11 months"
"594","58","HEMANTH2611","Iowa State University","Management Information System","Spring 2017 ","Reject","303","TOEFL","108","62.60%","33 months"
"595","59","Ashwin53","Iowa State University","Management Information System","Spring 2017 ","Reject","314","TOEFL","101","7.351 CGPA ","46 months"
"596","60","supradin","Iowa State University","Management Information System","Fall 2016 ","Reject","292","TOEFL","92","65%","30 months"
"597","61","shweshri","Iowa State University","Management Information System","Fall 2016 ","Reject","305","TOEFL","92","71.20%","36 months"
"598","62","varshbala9","Iowa State University","Management Information System","Fall 2016 ","Reject","303","IELTS","7","7.69 CGPA ","22 months"
"640","22","shreyank96","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","325","TOEFL","116","8.48 CGPA ","2 months"
"641","23","Adhishri","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","303","TOEFL","102","65%","9 months"
"642","24","soumili","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","320","TOEFL","112","80.48%","28 months"
"643","25","PavitraThacker","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","325","TOEFL","119","8.24 CGPA ",NA
"644","26","sarjai91","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","N.A. ","ENG TEST","NA ","85%","28 months"
"645","27","anshul0414","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","316","TOEFL","103","81.01%","13 months"
"646","28","suyashkhemka","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","323","TOEFL","103","7.92 CGPA ","7 months"
"647","29","Adyasha1094","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","318","TOEFL","118","8.43 CGPA ","30 months"
"648","30","Apu0929","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","326","TOEFL","115","9.38 CGPA ","1 month"
"649","31","ashok05","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","319","TOEFL","113","9.3 CGPA ","11 months"
"650","32","SukritG","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","313","TOEFL","111","8.5 CGPA ","31 months"
"651","33","AbhinG","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","N.A. ","ENG TEST","NA ","74%","12 months"
"652","34","poorva12","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","320","ENG TEST","NA ","8.87 CGPA ","18 months"
"653","35","Krutika93","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","315","TOEFL","105","7.42 CGPA ",NA
"654","36","Chk1919","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","319","IELTS","0","73.10%",NA
"655","37","MayurDevil","Indiana University Bloomington","Management Information System","Fall 2018 ","Admit","319","TOEFL","112","7.52 CGPA ","35 months"
"656","38","ketakireddy","Indiana University Bloomington","Management Information System","Fall 2013 ","Admit","312","TOEFL","113","65%",NA
"657","39","sanketwalavalka","Indiana University Bloomington","Management Information System","Fall 2011 ","Admit","N.A. ","TOEFL","101","68%",NA
"658","40","loveenvarghese","Indiana University Bloomington","Management Information System","Fall 2011 ","Admit","324","TOEFL","113","65.50%",NA
"659","41","adityajagitani","Indiana University Bloomington","Management Information System","Fall 2012 ","Admit","316","TOEFL","100","62.30%",NA
"660","43","Sonali2810","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","322","TOEFL","110","79.04%","27 months"
"661","44","clinton30","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","317","TOEFL","114","61.52%","36 months"
"662","45","Raksha-Wath","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","311","TOEFL","101","72%","24 months"
"663","46","kkt270993","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","316","TOEFL","114","70%","26 months"
"664","47","kramikg","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","312","TOEFL","108","7.14 CGPA ","6 months"
"665","48","Shreepriya","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","312","TOEFL","110","8.6 CGPA ","24 months"
"666","49","gauriyewale","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","312","TOEFL","105","64.86%","18 months"
"667","50","vishal khatri","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","326","TOEFL","113","68.50%","44 months"
"668","51","Kherdekar","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","324","TOEFL","110","63.58%","16 months"
"669","52","GauravDharra","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","313","ENG TEST","NA ","75%","38 months"
"670","53","darshit96","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","322","TOEFL","104","8.3 CGPA ",NA
"671","54","Anju1234","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","319","TOEFL","113","73.40%","26 months"
"672","55","Hardit","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","324","TOEFL","114","8.3 CGPA ","30 months"
"673","56","sayalisurya6723","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","312","TOEFL","102","65%","20 months"
"674","57","bara","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","320","TOEFL","108","65%","41 months"
"675","58","rupam3","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","312","TOEFL","98","7.07 CGPA ","14 months"
"676","59","sukritibharti","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","308","TOEFL","108","8.65 CGPA ","36 months"
"677","60","hiback","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","314","TOEFL","108","71%","28 months"
"678","61","samaksudhakar","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","306","TOEFL","99","8.79 CGPA ","30 months"
"679","62","DarshG","Indiana University Bloomington","Management Information System","Fall 2018 ","Reject","315","TOEFL","101","9.81 CGPA ",NA
"709","10","PreetamD","University of Minnesota, Twin Cities","Management Information System","Fall 2018 ","Admit","287","ENG TEST","NA ","6.3 CGPA ",NA
"710","11","fanilgada","University of Minnesota, Twin Cities","Management Information System","Fall 2016 ","Admit","309","TOEFL","102","71%","30 months"
"711","12","vijayavjvjvj","University of Minnesota, Twin Cities","Management Information System","Fall 2015 ","Admit","319","TOEFL","110","75%",NA
"712","14","Prachigupta","University of Minnesota, Twin Cities","Management Information System","Fall 2018 ","Reject","316","TOEFL","103","81%","28 months"
"713","15","dpaulswa","University of Minnesota, Twin Cities","Management Information System","Fall 2016 ","Reject","300","TOEFL","94","8.1 CGPA ","29 months"
"714","16","sohilveljee.stupidsid","University of Minnesota, Twin Cities","Management Information System","Fall 2013 ","Reject","321","TOEFL","113","8.83 CGPA ","20 months"
"756","22","ChinmayArolkar","Northeastern University","Information Systems","Fall 2018 ","Admit","298","TOEFL","82","6.22 CGPA ",NA
"757","23","AKHILPRASAD1994RAMAIAH","Northeastern University","Information Systems","Fall 2018 ","Admit","305","TOEFL","102","8.33 CGPA ","3 months"
"758","24","AmanNankani","Northeastern University","Information Systems","Fall 2018 ","Admit","313","TOEFL","102","79%",NA
"759","25","nbcool","Northeastern University","Information Systems","Fall 2018 ","Admit","306","TOEFL","99","8.5 CGPA ",NA
"760","26","Sashank1005","Northeastern University","Information Systems","Fall 2018 ","Admit","306","TOEFL","104","80.22%","20 months"
"761","27","pakki_1992","Northeastern University","Information Systems","Fall 2016 ","Admit","N.A. ","ENG TEST","NA ","81%","20 months"
"762","28","suhbugadu","Northeastern University","Information Systems","Spring 2019 ","Admit","N.A. ","IELTS","7","7 CGPA ",NA
"763","29","AyushiM","Northeastern University","Information Systems","Fall 2018 ","Admit","296","TOEFL","83","7.01 CGPA ","3 months"
"764","30","tejshah","Northeastern University","Information Systems","Fall 2018 ","Admit","309","TOEFL","104","56%","38 months"
"765","31","dhadwal","Northeastern University","Information Systems","Fall 2018 ","Admit","331","TOEFL","107","64.36%","24 months"
"766","32","YogitaP","Northeastern University","Information Systems","Fall 2018 ","Admit","303","TOEFL","87","68%","60 months"
"767","33","nishant2996","Northeastern University","Information Systems","Fall 2018 ","Admit","303","TOEFL","89","6.5 CGPA ",NA
"768","34","nidhisa1989","Northeastern University","Information Systems","Fall 2018 ","Admit","306","TOEFL","96","73%","60 months"
"769","35","Wqureshi","Northeastern University","Information Systems","Fall 2018 ","Admit","305","ENG TEST","NA ","72.40%","51 months"
"770","36","pratham1990","Northeastern University","Information Systems","Fall 2018 ","Admit","N.A. ","ENG TEST","NA ","55%","48 months"
"771","37","ishanja1996","Northeastern University","Information Systems","Fall 2018 ","Admit","307","TOEFL","97","6 CGPA ",NA
"772","38","kow","Northeastern University","Information Systems","Fall 2018 ","Admit","N.A. ","ENG TEST","NA ","6.28 CGPA ",NA
"773","39","Salonee","Northeastern University","Information Systems","Fall 2018 ","Admit","305","TOEFL","0","8.65 CGPA ","8 months"
"774","40","VAIBHAVRAJ","Northeastern University","Information Systems","Fall 2018 ","Admit","299","TOEFL","84","8.64 CGPA ","67 months"
"775","41","hjhimanshujoshi529","Northeastern University","Information Systems","Fall 2017 ","Admit","302","TOEFL","102","5.6 CGPA ","8 months"
"776","43","rajsoni","Northeastern University","Information Systems","Fall 2018 ","Reject","293","TOEFL","101","8.72 CGPA ","20 months"
"777","44","deep3096","Northeastern University","Information Systems","Fall 2018 ","Reject","301","TOEFL","0","7.13 CGPA ",NA
"778","45","Rushikesh420","Northeastern University","Information Systems","Fall 2018 ","Reject","298","TOEFL","0","57.43%","6 months"
"779","46","sandy90wagh","Northeastern University","Information Systems","Fall 2018 ","Reject","292","TOEFL","72","59%","48 months"
"780","47","gumiho","Northeastern University","Information Systems","Spring 2018 ","Reject","289","IELTS","7","78.53%","24 months"
"781","48","dhruv070","Northeastern University","Information Systems","Spring 2018 ","Reject","300","TOEFL","97","7.1 CGPA ","5 months"
"782","49","srbhklkrn","Northeastern University","Information Systems","Fall 2017 ","Reject","293","TOEFL","87","5.92 CGPA ","11 months"
"783","50","aadityag01","Northeastern University","Information Systems","Fall 2017 ","Reject","315","TOEFL","111","8.12 CGPA ","25 months"
"784","51","Devavrat","Northeastern University","Information Systems","Fall 2017 ","Reject","307","TOEFL","99","60.35%","20 months"
"785","52","vatsy61","Northeastern University","Information Systems","Fall 2017 ","Reject","303","TOEFL","88","70.10%","23 months"
"786","53","kamath.sanket4","Northeastern University","Information Systems","Fall 2016 ","Reject","293","TOEFL","107","7.7 CGPA ",NA
"787","54","Ronza3490","Northeastern University","Information Systems","Spring 2017 ","Reject","290","TOEFL","86","8.25 CGPA ","48 months"
"788","55","mohansharma21","Northeastern University","Information Systems","Fall 2016 ","Reject","304","TOEFL","90","66%","46 months"
"789","56","Kapilan","Northeastern University","Information Systems","Fall 2016 ","Reject","300","TOEFL","99","7.3 CGPA ",NA
"790","57","jalaj18","Northeastern University","Information Systems","Fall 2016 ","Reject","316","TOEFL","107","77%","40 months"
"791","58","dpranavsai","Northeastern University","Information Systems","Fall 2016 ","Reject","301","TOEFL","92","71%","20 months"
"792","59","agraj","Northeastern University","Information Systems","Fall 2016 ","Reject","314","TOEFL","109","7.18 CGPA ",NA
"793","60","varunforest","Northeastern University","Information Systems","Fall 2016 ","Reject","304","ENG TEST","NA ","8.06 CGPA ","17 months"
"826","13","rapidstar5","Northwestern University","Management Information System","Fall 2016 ","Admit","311","TOEFL","101","62%","54 months"
"827","14","saurabh484","Northwestern University","Management Information System","Fall 2016 ","Admit","318","TOEFL","105","6.8 CGPA ","42 months"
"828","16","shuravi","Northwestern University","Management Information System","Fall 2018 ","Reject","303","ENG TEST","NA ","8.2 CGPA ","47 months"
"829","17","krishi591","Northwestern University","Management Information System","Fall 2015 ","Reject","314","TOEFL","95","58%",NA
"871","22","Rhea Rai","New York University","Information Systems","Fall 2019 ","Admit","N.A. ","TOEFL","80","73%","6 months"
"872","23","RohitN","New York University","Information Systems","Fall 2017 ","Admit","311","TOEFL","107","52%","35 months"
"873","24","ShashankTops","New York University","Information Systems","Fall 2018 ","Admit","323","TOEFL","107","7.1 CGPA ","44 months"
"874","25","pshreya","New York University","Information Systems","Fall 2018 ","Admit","312","TOEFL","104","7.61 CGPA ","20 months"
"875","26","Anks89","New York University","Information Systems","Fall 2018 ","Admit","313","TOEFL","0","8.03 CGPA ","60 months"
"876","27","shubhm","New York University","Information Systems","Fall 2018 ","Admit","307","TOEFL","0","74%","15 months"
"877","28","anandaltekar","New York University","Information Systems","Fall 2018 ","Admit","320","TOEFL","107","69%","60 months"
"878","29","satya0721","New York University","Information Systems","Fall 2019 ","Admit","316","TOEFL","113","7.86 CGPA ","36 months"
"879","30","aah","New York University","Information Systems","Fall 2018 ","Admit","320","ENG TEST","NA ","8 CGPA ",NA
"880","31","Nidhi777 ","New York University","Information Systems","Fall 2018 ","Admit","310","TOEFL","103","70%","88 months"
"881","32","umangsuhalka","New York University","Information Systems","Fall 2018 ","Admit","330","TOEFL","0","65%","24 months"
"882","33","mohitghodake","New York University","Information Systems","Fall 2018 ","Admit","311","TOEFL","98","7.31 CGPA ","25 months"
"883","34","MayureshRM","New York University","Information Systems","Fall 2018 ","Admit","318","TOEFL","0","73.50%","33 months"
"884","35","sajan bang","New York University","Information Systems","Fall 2018 ","Admit","304","TOEFL","92","7.2 CGPA ","16 months"
"885","36","preetish7","New York University","Information Systems","Fall 2018 ","Admit","311","TOEFL","97","7.7 CGPA ","35 months"
"886","37","Ankeet1406","New York University","Information Systems","Fall 2018 ","Admit","326","TOEFL","111","60.10%","42 months"
"887","38","Sanchsabharwal","New York University","Information Systems","Fall 2018 ","Admit","308","TOEFL","100","9.23 CGPA ","26 months"
"888","39","Himanshi22","New York University","Information Systems","Fall 2018 ","Admit","314","TOEFL","100","76%","41 months"
"889","40","saiyogesh","New York University","Information Systems","Fall 2018 ","Admit","320","TOEFL","113","7.9 CGPA ","17 months"
"890","41","wonderMIS","New York University","Information Systems","Fall 2018 ","Admit","320","TOEFL","100","90%","34 months"
"891","43","niteshnm","New York University","Information Systems","Fall 2018 ","Reject","310","TOEFL","115","71.50%","48 months"
"892","44","Shweth94","New York University","Information Systems","Fall 2018 ","Reject","310","TOEFL","90","71%","6 months"
"893","45","Rawlani","New York University","Information Systems","Fall 2018 ","Reject","312","TOEFL","91","7.8 CGPA ","14 months"
"894","46","shruti1735","New York University","Information Systems","Fall 2018 ","Reject","320","TOEFL","0","7.54 CGPA ","7 months"
"895","47","Sandyyy","New York University","Information Systems","Fall 2018 ","Reject","305","ENG TEST","NA ","8.5 CGPA ","6 months"
"896","48","ATATAT","New York University","Information Systems","Fall 2018 ","Reject","N.A. ","TOEFL","103","8.5 CGPA ","1 month"
"897","49","pateljay134","New York University","Information Systems","Spring 2018 ","Reject","310","TOEFL","95","8 CGPA ",NA
"898","50","adityajagitani","New York University","Information Systems","Fall 2012 ","Reject","316","TOEFL","100","62.30%",NA
"899","51","Ashish95arora","New York University","Information Systems","Fall 2017 ","Reject","321","TOEFL","104","8.54 CGPA ","10 months"
"900","52","Proshonjit","New York University","Information Systems","Fall 2017 ","Reject","313","TOEFL","112","55%","43 months"
"901","53","khushi26","New York University","Information Systems","Fall 2017 ","Reject","316","TOEFL","102","6.7 CGPA ","9 months"
"902","54","shraddhasubhedar","New York University","Information Systems","Fall 2016 ","Reject","320","TOEFL","113","8.14 CGPA ",NA
"903","55","praveendhn","New York University","Information Systems","Fall 2016 ","Reject","307","TOEFL","98","6.49 CGPA ","30 months"
"904","56","pag0220","New York University","Information Systems","Fall 2016 ","Reject","306","TOEFL","103","63%","20 months"
"905","57","vivekj","New York University","Information Systems","Fall 2015 ","Reject","320","TOEFL","108","66%",NA
"906","58","josemorinho8","New York University","Information Systems","Fall 2015 ","Reject","315","TOEFL","109","7 CGPA ","20 months"
"907","59","ut0501","New York University","Information Systems","Fall 2015 ","Reject","321","TOEFL","113","7 CGPA ","12 months"
"908","60","sagarbotta.stupidsid","New York University","Information Systems","Fall 2014 ","Reject","302","TOEFL","98","7.66 CGPA ","30 months"
"909","61","siddarth.stupidsid","New York University","Information Systems","Fall 2014 ","Reject","315","TOEFL","109","70.06%","10 months"
"933","4","praneethbaru","Pennsylvania State University","Information Science","Fall 2018 ","Admit","313","TOEFL","0","87%","12 months"
"934","5","Khadutz95","Pennsylvania State University","Information Science","Fall 2018 ","Admit","316","TOEFL","117","9.1 CGPA ","4 months"
"935","6","samarth7","Pennsylvania State University","Information Science","Fall 2018 ","Admit","327","TOEFL","112","7.7 CGPA ","32 months"
"936","7","nishakk","Pennsylvania State University","Information Science","Fall 2017 ","Admit","315","TOEFL","100","8.31 CGPA ","19 months"
"937","8","Apara","Pennsylvania State University","Information Science","Fall 2017 ","Admit","316","TOEFL","109","71.40%","20 months"
"938","9","Shauryr","Pennsylvania State University","Information Science","Fall 2017 ","Admit","324","TOEFL","100","6.96 CGPA ","25 months"
"939","10","Ishaani","Pennsylvania State University","Information Science","Fall 2017 ","Admit","325","TOEFL","108","76.60%","24 months"
"940","11","vihabidre","Pennsylvania State University","Information Science","Fall 2017 ","Admit","305","TOEFL","107","8.44 CGPA ","20 months"
"941","12","pratik151192","Pennsylvania State University","Information Science","Fall 2016 ","Admit","317","TOEFL","110","9.12 CGPA ","24 months"
"942","13","sachin1994bapu","Pennsylvania State University","Information Science","Fall 2016 ","Admit","318","TOEFL","105","78.58%",NA
"943","15","josephnp732","Pennsylvania State University","Information Science","Fall 2018 ","Reject","307","TOEFL","0","77.34%","1 month"
"944","16","Sudarshan 1","Pennsylvania State University","Information Science","Fall 2017 ","Reject","313","TOEFL","100","80.45%","32 months"
"986","22","Sashank1005","Rochester Institute of Technology","Information Science","Fall 2018 ","Admit","306","TOEFL","104","80.22%","20 months"
"987","23","Suraj Nair","Rochester Institute of Technology","Information Science","Fall 2018 ","Admit","311","TOEFL","102","62.80%","27 months"
"988","24","Yashdhawan","Rochester Institute of Technology","Information Science","Fall 2018 ","Admit","299","TOEFL","85","58.50%","24 months"
"989","25","frey_b","Rochester Institute of Technology","Information Science","Fall 2018 ","Admit","300","TOEFL","103","9 CGPA ","30 months"
"990","26","Sagerion","Rochester Institute of Technology","Information Science","Fall 2018 ","Admit","317","TOEFL","105","6.76 CGPA ","12 months"
"991","27","thakkarmayur1989","Rochester Institute of Technology","Information Science","Fall 2017 ","Admit","299","TOEFL","93","66%","48 months"
"992","28","rishi.nandedkar93","Rochester Institute of Technology","Information Science","Fall 2017 ","Admit","304","TOEFL","100","63%",NA
"993","29","Samywad91","Rochester Institute of Technology","Information Science","Fall 2017 ","Admit","301","TOEFL","85","62%","37 months"
"994","30","chris24","Rochester Institute of Technology","Information Science","Spring 2017 ","Admit","312","TOEFL","103","80%","36 months"
"995","31","nehamchangappa","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","302","TOEFL","98","7.7 CGPA ",NA
"996","32","nainapali","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","301","TOEFL","89","7.24 CGPA ","3 months"
"997","33","mvamsinadha","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","307","TOEFL","102","61%","28 months"
"998","34","vineetpalan","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","297","TOEFL","94","69.80%","30 months"
"999","35","saurabhbandawar1atgmail.com","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","300","IELTS","6.5","58.79%","26 months"
"1000","36","amol_shandilya","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","305","TOEFL","104","7 CGPA ","6 months"
"1001","37","sikharani","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","302","TOEFL","101","64%","18 months"
"1002","38","jsriram7","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","309","TOEFL","104","7.3 CGPA ","30 months"
"1003","39","greatfall16","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","303","TOEFL","88","59%","1 month"
"1004","40","akhifall16","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","305","IELTS","7.5","8 CGPA ","6 months"
"1005","41","sameerkumar89","Rochester Institute of Technology","Information Science","Fall 2016 ","Admit","300","TOEFL","98","7.18 CGPA ","54 months"
"1006","43","Hemantha ","Rochester Institute of Technology","Information Science","Fall 2018 ","Reject","328","TOEFL","104","6 CGPA ","18 months"
"1007","44","pratha95","Rochester Institute of Technology","Information Science","Fall 2017 ","Reject","305","TOEFL","95","7 CGPA ","1 month"
"1008","45","Mansi96","Rochester Institute of Technology","Information Science","Spring 2018 ","Reject","293","TOEFL","96","7.58 CGPA ","5 months"
"1009","46","Saurabh23","Rochester Institute of Technology","Information Science","Spring 2017 ","Reject","304","TOEFL","95","6.1 CGPA ",NA
"1010","47","Surendar","Rochester Institute of Technology","Information Science"," Fall 2016 ","Reject","294","TOEFL","96","8.9 CGPA ","40 months"
"1011","48","nainishah2092","Rochester Institute of Technology","Information Science","Fall 2016 ","Reject","297","TOEFL","92","56.68%","24 months"
"1012","49","Aditya007","Rochester Institute of Technology","Information Science","Fall 2016 ","Reject","302","TOEFL","93","74%","24 months"
